leg_id,datetime,pivot_side,structure_label,pivot_price,price_change,pct_change,swing_direction,threshold_pct
55,2024-12-05 02:01:00,High,LH,68.68,0.22000000000001307,0.0032135553607948175,Up,0.003
56,2024-12-05 02:43:00,Low,HL,68.47,-0.21000000000000796,-0.0030576587070473282,Down,0.003
57,2024-12-05 04:45:00,High,HH,68.99,0.519999999999996,0.007594566963633698,Up,0.003
58,2024-12-05 05:11:00,Low,HL,68.73,-0.2599999999999909,-0.003768662124945532,Down,0.003
59,2024-12-05 05:39:00,High,LH,68.95,0.21999999999999886,0.0032009311799796603,Up,0.003
60,2024-12-05 05:50:00,Low,LL,68.71,-0.2400000000000091,-0.003480783176214808,Down,0.003
61,2024-12-05 06:33:00,High,HH,69.06,0.3500000000000085,0.005093872798719312,Up,0.003
62,2024-12-05 06:56:00,Low,LL,68.02,-1.0400000000000063,-0.015059368664929185,Down,0.003
63,2024-12-05 07:38:00,High,LH,68.82,0.7999999999999972,0.011761246692149285,Up,0.003
64,2024-12-05 07:58:00,Low,HL,68.49,-0.3299999999999983,-0.0047951176983435095,Down,0.003
65,2024-12-05 08:56:00,High,HH,69.13,0.6400000000000006,0.009344429843772817,Up,0.003
66,2024-12-05 09:16:00,Low,HL,68.78,-0.3499999999999943,-0.005062924924056023,Down,0.003
67,2024-12-05 09:57:00,High,LH,69.1,0.3199999999999932,0.004652515266065693,Up,0.003
68,2024-12-05 10:43:00,Low,LL,68.51,-0.5899999999999892,-0.008538350217076496,Down,0.003
69,2024-12-05 10:55:00,High,LH,68.92,0.4099999999999966,0.005984527806159656,Up,0.003
70,2024-12-05 11:36:00,Low,LL,68.24,-0.6800000000000068,-0.009866511897852703,Down,0.003
71,2024-12-05 11:55:00,High,LH,68.6,0.35999999999999943,0.005275498241500642,Up,0.003
72,2024-12-05 13:02:00,Low,LL,68.21,-0.39000000000000057,-0.005685131195335313,Down,0.003
73,2024-12-05 13:42:00,High,HH,68.7,0.4900000000000091,0.007183697405072742,Up,0.003
74,2024-12-05 14:28:00,Low,HL,68.27,-0.4300000000000068,-0.006259097525473156,Down,0.003
75,2024-12-05 15:10:00,High,LH,68.68,0.4100000000000108,0.006005566134466234,Up,0.003
76,2024-12-05 21:01:00,Low,LL,68.02,-0.6600000000000108,-0.009609784507862762,Down,0.003
77,2024-12-06 01:20:00,High,LH,68.4,0.38000000000000966,0.005586592178770999,Up,0.003
78,2024-12-06 02:53:00,Low,HL,68.06,-0.3400000000000034,-0.004970760233918181,Down,0.003
79,2024-12-06 03:33:00,High,LH,68.37,0.3100000000000023,0.004554804584190553,Up,0.003
80,2024-12-06 04:01:00,Low,LL,67.99,-0.38000000000000966,-0.005557993271902983,Down,0.003
81,2024-12-06 04:08:00,High,LH,68.22,0.23000000000000398,0.003382850419179295,Up,0.003
82,2024-12-06 06:02:00,Low,LL,67.57,-0.6500000000000057,-0.009527997654646847,Down,0.003
83,2024-12-06 07:42:00,High,LH,67.83,0.2600000000000051,0.0038478614769870134,Up,0.003
84,2024-12-06 08:04:00,Low,LL,67.44,-0.39000000000000057,-0.005749668288367982,Down,0.003
85,2024-12-06 08:28:00,High,LH,67.72,0.28000000000000114,0.004151838671411667,Up,0.003
86,2024-12-06 08:46:00,Low,HL,67.44,-0.28000000000000114,-0.0041346721795628705,Down,0.003
87,2024-12-06 08:54:00,High,LH,67.65,0.21000000000000796,0.0031138790035587505,Up,0.003
88,2024-12-06 09:02:00,Low,LL,67.34,-0.3100000000000023,-0.004582409460458292,Down,0.003
89,2024-12-06 09:09:00,High,HH,67.7,0.35999999999999943,0.005346005346005267,Up,0.003
90,2024-12-06 09:42:00,Low,LL,67.26,-0.4399999999999977,-0.006499261447562743,Down,0.003
91,2024-12-06 09:50:00,High,LH,67.47,0.20999999999999375,0.003122212310437078,Up,0.003
92,2024-12-06 10:30:00,Low,LL,67.01,-0.45999999999999375,-0.006817844968133868,Down,0.003
93,2024-12-06 11:26:00,High,HH,67.47,0.45999999999999375,0.0068646470676017035,Up,0.003
