bin_id,price_min,price_max,price_center,volume,volume_pct,cumulative_volume_pct,threshold_bins
1,66.98,67.01360000000001,66.99680000000001,551.0,0.00017971409477097216,0.00017971409477097216,150
2,67.01360000000001,67.04720000000002,67.03040000000001,406.0,0.0001324209119365058,0.00031213500670747795,150
3,67.0472,67.08080000000001,67.06400000000001,5871.0,0.001914884664973462,0.0022270196716809403,150
4,67.08080000000001,67.11440000000002,67.09760000000001,4322.0,0.0014096630083487145,0.0036366826800296546,150
5,67.1144,67.14800000000001,67.1312,7457.0,0.0024321742372180387,0.006068856917247694,150
6,67.14800000000001,67.18160000000002,67.16480000000001,13909.0,0.004536557793410984,0.010605414710658678,150
7,67.1816,67.21520000000001,67.1984,8836.0,0.002881948713967895,0.013487363424626572,150
8,67.21520000000001,67.24880000000002,67.23200000000001,3772.0,0.0012302750734593593,0.014717638498085932,150
9,67.2488,67.28240000000001,67.2656,3342.0,0.0010900263243640454,0.01580766482244998,150
10,67.28240000000001,67.31600000000002,67.29920000000001,5758.0,0.00187802859835074,0.01768569342080072,150
11,67.316,67.34960000000001,67.3328,8933.0,0.0029135862224847447,0.020599279643285465,150
12,67.34960000000001,67.38320000000002,67.36640000000001,9085.0,0.00296316252449053,0.023562442167775994,150
13,67.3832,67.41680000000001,67.4,10898.0,0.003554490389862168,0.02711693255763816,150
14,67.41680000000001,67.45040000000002,67.43360000000001,12745.0,0.004156907691208784,0.03127384024884695,150
15,67.4504,67.48400000000001,67.4672,8731.0,0.0028477019263981086,0.03412154217524506,150
16,67.48400000000001,67.51760000000002,67.50080000000001,5689.0,0.0018555235665191662,0.03597706574176422,150
17,67.5176,67.55120000000001,67.5344,4457.0,0.0014536945923670109,0.03743076033413123,150
18,67.55120000000001,67.58480000000002,67.56800000000001,5744.0,0.0018734623600081019,0.03930422269413933,150
19,67.5848,67.61840000000001,67.6016,10135.0,0.0033056304001883897,0.042609853094327715,150
20,67.61840000000001,67.65200000000002,67.63520000000001,7770.0,0.002534262280164163,0.04514411537449188,150
21,67.652,67.68560000000001,67.6688,3978.0,0.0012974640090724632,0.046441579383564344,150
22,67.68560000000001,67.71920000000001,67.70240000000001,2827.0,0.0009220539853312855,0.04736363336889563,150
23,67.7192,67.75280000000001,67.736,3596.0,0.0011728709342947656,0.0485365043031904,150
24,67.75280000000001,67.78640000000001,67.76960000000001,3148.0,0.0010267513073303454,0.049563255610520746,150
25,67.7864,67.82000000000001,67.8032,5346.0,0.001743650727124532,0.05130690633764528,150
26,67.82000000000001,67.85360000000001,67.83680000000001,6524.0,0.002127867067669369,0.05343477340531465,150
27,67.8536,67.8872,67.8704,8920.0,0.0029093461440237237,0.05634411954933837,150
28,67.8872,67.92080000000001,67.90400000000001,8284.0,0.0027019084593153057,0.059046028008653675,150
29,67.9208,67.9544,67.9376,11995.0,0.003912287779996027,0.0629583157886497,150
30,67.9544,67.98800000000001,67.97120000000001,12689.0,0.004138642737838232,0.06709695852648793,150
31,67.988,68.0216,68.0048,18935.0,0.006175837358418072,0.07327279588490601,150
32,68.0216,68.05520000000001,68.03840000000001,20101.0,0.006556139780383505,0.07982893566528952,150
33,68.0552,68.0888,68.072,16898.0,0.005511449679564224,0.08534038534485375,150
34,68.0888,68.12240000000001,68.10560000000001,27756.0,0.009052893674161712,0.09439327901901545,150
35,68.1224,68.156,68.1392,14126.0,0.004607334487721874,0.09900061350673733,150
36,68.156,68.18960000000001,68.17280000000001,19221.0,0.0062691190845605375,0.10526973259129788,150
37,68.1896,68.2232,68.2064,20256.0,0.006606694562034142,0.11187642715333201,150
38,68.2232,68.25680000000001,68.24000000000001,15503.0,0.005056456644708497,0.11693288379804051,150
39,68.2568,68.2904,68.2736,26035.0,0.00849157251789884,0.12542445631593935,150
40,68.2904,68.32400000000001,68.30720000000001,22545.0,0.007353274531055476,0.13277773084699482,150
41,68.324,68.3576,68.3408,28734.0,0.009371878038383148,0.14214960888537798,150
42,68.3576,68.39120000000001,68.37440000000001,29845.0,0.009734241666859645,0.15188385055223763,150
43,68.3912,68.4248,68.408,24407.0,0.007960584230626348,0.15984443478286398,150
44,68.4248,68.45840000000001,68.44160000000001,18612.0,0.006070487716655778,0.16591492249951975,150
45,68.4584,68.492,68.4752,23533.0,0.0076755204940930815,0.17359044299361284,150
46,68.492,68.52560000000001,68.50880000000001,23472.0,0.007655624741314444,0.1812460677349273,150
47,68.5256,68.5592,68.5424,28393.0,0.009260657518751747,0.19050672525367904,150
48,68.5592,68.59280000000001,68.57600000000001,45956.0,0.014989003519591282,0.20549572877327033,150
49,68.5928,68.6264,68.6096,25925.0,0.008455694930920968,0.2139514237041913,150
50,68.6264,68.66000000000001,68.64320000000001,44657.0,0.014565321833370788,0.22851674553756207,150
51,68.66,68.6936,68.6768,39199.0,0.01278514119950515,0.24130188673706723,150
52,68.6936,68.72720000000001,68.7104,25149.0,0.00820259486278617,0.2495044815998534,150
53,68.7272,68.7608,68.744,46796.0,0.01526297782014957,0.26476745942000296,150
54,68.7608,68.79440000000001,68.7776,37309.0,0.012168699023249003,0.276936158443252,150
55,68.7944,68.828,68.8112,31756.0,0.01035753320062975,0.28729369164388174,150
56,68.828,68.86160000000001,68.8448,37807.0,0.012331126644294274,0.299624818288176,150
57,68.8616,68.8952,68.8784,31173.0,0.010167381989647032,0.309792200277823,150
58,68.8952,68.92880000000001,68.912,28574.0,0.009319692457324426,0.31911189273514745,150
59,68.9288,68.9624,68.9456,34114.0,0.011126618201482658,0.3302385109366301,150
