leg_id,datetime,pivot_side,structure_label,pivot_price,price_change,pct_change,swing_direction,threshold_pct
62,2024-12-02 07:51:00,Low,LL,68.66,-0.20000000000000284,-0.002904443799012557,Down,0.001
63,2024-12-02 08:06:00,High,HH,68.9,0.2400000000000091,0.0034954849985435743,Up,0.001
64,2024-12-02 08:13:00,Low,HL,68.75,-0.15000000000000568,-0.002177068214804123,Down,0.001
65,2024-12-02 08:35:00,High,HH,69.04,0.29000000000000625,0.004218181818181899,Up,0.001
66,2024-12-02 08:38:00,Low,HL,68.92,-0.12000000000000455,-0.0017381228273465332,Down,0.001
67,2024-12-02 08:50:00,High,HH,69.08,0.1599999999999966,0.002321532211259303,Up,0.001
68,2024-12-02 08:55:00,Low,HL,68.92,-0.1599999999999966,-0.0023161551823971394,Down,0.001
69,2024-12-02 09:10:00,High,LH,69.07,0.14999999999999147,0.002176436448055652,Up,0.001
70,2024-12-02 09:18:00,Low,LL,68.77,-0.29999999999999716,-0.004343419719125441,Down,0.001
71,2024-12-02 09:30:00,High,LH,68.89,0.12000000000000455,0.0017449469245311988,Up,0.001
72,2024-12-02 09:45:00,Low,LL,68.35,-0.5400000000000063,-0.007838583248657383,Down,0.001
73,2024-12-02 09:49:00,High,LH,68.42,0.07000000000000739,0.0010241404535480392,Up,0.001
74,2024-12-02 09:57:00,Low,LL,68.2,-0.21999999999999886,-0.003215434083601254,Down,0.001
75,2024-12-02 10:05:00,High,LH,68.41,0.20999999999999375,0.0030791788856303626,Up,0.001
76,2024-12-02 10:17:00,Low,LL,68.16,-0.25,-0.0036544364858939193,Down,0.001
77,2024-12-02 10:29:00,High,HH,68.74,0.5799999999999983,0.0085093896713615,Up,0.001
78,2024-12-02 10:47:00,Low,HL,68.3,-0.4399999999999977,-0.0064009310445155565,Down,0.001
79,2024-12-02 10:49:00,High,LH,68.37,0.07000000000000739,0.0010248901903369134,Up,0.001
80,2024-12-02 10:52:00,Low,LL,68.29,-0.0799999999999983,-0.0011701038467163416,Down,0.001
81,2024-12-02 10:58:00,High,HH,68.53,0.23999999999999488,0.0035144237809341394,Up,0.001
82,2024-12-02 11:03:00,Low,HL,68.34,-0.18999999999999773,-0.0027725083904859282,Down,0.001
83,2024-12-02 11:07:00,High,LH,68.46,0.11999999999999034,0.0017559262510973284,Up,0.001
84,2024-12-02 11:28:00,Low,LL,67.9,-0.5599999999999881,-0.008179959100204304,Down,0.001
85,2024-12-02 11:31:00,High,LH,68.1,0.19999999999998863,0.002945508100147043,Up,0.001
86,2024-12-02 11:44:00,Low,LL,67.83,-0.269999999999996,-0.003964757709251088,Down,0.001
87,2024-12-02 11:48:00,High,LH,67.96,0.12999999999999545,0.0019165560961225125,Up,0.001
88,2024-12-02 12:04:00,Low,LL,67.74,-0.21999999999999886,-0.0032371983519717817,Down,0.001
89,2024-12-02 12:15:00,High,LH,67.94,0.20000000000000284,0.002952465308532659,Up,0.001
90,2024-12-02 12:27:00,Low,HL,67.79,-0.14999999999999147,-0.0022078304386221603,Down,0.001
91,2024-12-02 12:45:00,High,HH,68.06,0.269999999999996,0.0039828883316122,Up,0.001
92,2024-12-02 12:51:00,Low,HL,67.94,-0.12000000000000455,-0.0017631501616222067,Down,0.001
93,2024-12-02 12:56:00,High,HH,68.07,0.12999999999999545,0.0019134530468059019,Up,0.001
94,2024-12-02 13:06:00,Low,HL,67.97,-0.09999999999999432,-0.0014690759512265839,Down,0.001
95,2024-12-02 13:10:00,High,LH,68.05,0.0799999999999983,0.0011769898484625951,Up,0.001
96,2024-12-02 13:43:00,Low,LL,67.82,-0.23000000000000398,-0.0033798677443057645,Down,0.001
97,2024-12-02 13:57:00,High,LH,68.0,0.18000000000000682,0.0026540843409024184,Up,0.001
98,2024-12-02 13:59:00,Low,HL,67.93,-0.06999999999999318,-0.0010294117647058343,Down,0.001
99,2024-12-02 14:01:00,High,HH,68.0,0.06999999999999318,0.0010304725452670027,Up,0.001
100,2024-12-02 14:13:00,Low,LL,67.88,-0.12000000000000455,-0.0017647058823530015,Down,0.001
