datetime,close,ema_50
2024-12-01 18:00:00,68.09,
2024-12-01 18:01:00,68.13,
2024-12-01 18:02:00,68.25,
2024-12-01 18:03:00,68.31,
2024-12-01 18:04:00,68.25,
2024-12-01 18:05:00,68.13,
2024-12-01 18:06:00,68.1,
2024-12-01 18:07:00,68.16,
2024-12-01 18:08:00,68.21,
2024-12-01 18:09:00,68.21,
2024-12-01 18:10:00,68.17,
2024-12-01 18:11:00,68.19,
2024-12-01 18:12:00,68.2,
2024-12-01 18:13:00,68.19,
2024-12-01 18:14:00,68.22,
2024-12-01 18:15:00,68.23,
2024-12-01 18:16:00,68.21,
2024-12-01 18:17:00,68.25,
2024-12-01 18:18:00,68.25,
2024-12-01 18:19:00,68.33,
2024-12-01 18:20:00,68.33,
2024-12-01 18:21:00,68.29,
2024-12-01 18:22:00,68.26,
2024-12-01 18:23:00,68.31,
2024-12-01 18:24:00,68.33,
2024-12-01 18:25:00,68.32,
2024-12-01 18:26:00,68.32,
2024-12-01 18:27:00,68.31,
2024-12-01 18:28:00,68.29,
2024-12-01 18:29:00,68.31,
2024-12-01 18:30:00,68.26,
2024-12-01 18:31:00,68.25,
2024-12-01 18:32:00,68.21,
2024-12-01 18:33:00,68.21,
2024-12-01 18:34:00,68.21,
2024-12-01 18:35:00,68.2,
2024-12-01 18:36:00,68.23,
2024-12-01 18:37:00,68.23,
2024-12-01 18:38:00,68.25,
2024-12-01 18:39:00,68.25,
2024-12-01 18:40:00,68.21,
2024-12-01 18:41:00,68.26,
2024-12-01 18:42:00,68.33,
2024-12-01 18:43:00,68.37,
2024-12-01 18:44:00,68.27,
2024-12-01 18:45:00,68.25,
2024-12-01 18:46:00,68.27,
2024-12-01 18:47:00,68.27,
2024-12-01 18:48:00,68.27,
2024-12-01 18:49:00,68.28,68.23522148593841
2024-12-01 18:50:00,68.3,68.23776181982318
2024-12-01 18:51:00,68.3,68.24020253277129
2024-12-01 18:52:00,68.27,68.2413710608979
2024-12-01 18:53:00,68.28,68.24288592125485
2024-12-01 18:54:00,68.27,68.24394921846054
2024-12-01 18:55:00,68.27,68.2449708177366
2024-12-01 18:56:00,68.27,68.24595235429595
2024-12-01 18:57:00,68.27,68.24689539922552
2024-12-01 18:58:00,68.3,68.24897793258923
2024-12-01 18:59:00,68.29,68.25058664111515
2024-12-01 19:00:00,68.31,68.2529165767577
2024-12-01 19:01:00,68.33,68.25593945610053
2024-12-01 19:02:00,68.29,68.25727516370443
2024-12-01 19:03:00,68.28,68.25816633375524
2024-12-01 19:04:00,68.28,68.25902255596093
2024-12-01 19:05:00,68.27,68.25945304396247
2024-12-01 19:06:00,68.27,68.25986665008159
2024-12-01 19:07:00,68.26,68.25987187949016
2024-12-01 19:08:00,68.26,68.25987690382388
2024-12-01 19:09:00,68.26,68.2598817311249
2024-12-01 19:10:00,68.26,68.25988636912001
2024-12-01 19:11:00,68.27,68.2602829820957
2024-12-01 19:12:00,68.28,68.26105619848411
2024-12-01 19:13:00,68.28,68.2617990926612
2024-12-01 19:14:00,68.27,68.26212069687057
2024-12-01 19:15:00,68.26,68.26203753228741
2024-12-01 19:16:00,68.27,68.26234978592319
2024-12-01 19:17:00,68.29,68.26343410804385
2024-12-01 19:18:00,68.3,68.26486806459116
2024-12-01 19:19:00,68.3,68.26624578754837
2024-12-01 19:20:00,68.3,68.26756948215431
2024-12-01 19:21:00,68.3,68.26884126716787
2024-12-01 19:22:00,68.28,68.26927886453385
2024-12-01 19:23:00,68.28,68.2696993012188
2024-12-01 19:24:00,68.27,68.26971109332786
2024-12-01 19:26:00,68.26,68.26933026613852
2024-12-01 19:27:00,68.28,68.26974868707427
2024-12-01 19:28:00,68.27,68.26975854248312
2024-12-01 19:29:00,68.29,68.27055232513084
2024-12-01 19:30:00,68.28,68.27092282218453
2024-12-01 19:31:00,68.27,68.27088663307926
2024-12-01 19:32:00,68.26,68.27045970629183
2024-12-01 19:33:00,68.23,68.26887305114313
2024-12-01 19:34:00,68.24,68.26774077462771
2024-12-01 19:35:00,68.25,68.26704505797565
2024-12-01 19:36:00,68.24,68.26598446746681
2024-12-01 19:37:00,68.25,68.26535762560536
2024-12-01 19:38:00,68.26,68.26514752264045
2024-12-01 19:39:00,68.23,68.26376918841926
2024-12-01 19:40:00,68.23,68.26244490652047
2024-12-01 19:41:00,68.22,68.26078040038242
2024-12-01 19:42:00,68.22,68.25918116899487
2024-12-01 19:43:00,68.21,68.25725249570095
2024-12-01 19:44:00,68.2,68.25500729979112
2024-12-01 19:45:00,68.2,68.25285015077971
2024-12-01 19:46:00,68.21,68.25116975270991
2024-12-01 19:47:00,68.22,68.24994740946639
2024-12-01 19:48:00,68.23,68.24916515811476
