timestamp,balance
2024-12-02 00:54:00,10100.0
2024-12-02 01:18:00,10017.500000000007
2024-12-02 01:54:00,9895.49166666668
2024-12-02 02:39:00,9693.401499999984
2024-12-02 02:44:00,9796.467484999983
2024-12-02 03:15:00,9898.502810149983
2024-12-02 04:07:00,9999.517782048482
2024-12-02 04:37:00,10099.522604227997
2024-12-02 04:51:00,9876.761862823154
2024-12-02 05:07:00,9750.221386108471
2024-12-02 05:15:00,9852.719172247387
2024-12-02 05:48:00,9954.191980524913
2024-12-02 06:09:00,10054.650060719663
2024-12-02 06:59:00,9772.865145773418
2024-12-02 07:29:00,9875.136494315684
2024-12-02 08:01:00,9976.385129372527
2024-12-02 08:51:00,9928.446101730397
2024-12-02 08:54:00,10029.161640713093
2024-12-02 09:58:00,9988.464341287432
2024-12-02 10:05:00,10088.579697874558
2024-12-02 10:23:00,10187.693900895812
2024-12-02 10:56:00,10285.816961886854
2024-12-02 11:45:00,10254.814250063091
2024-12-02 12:05:00,10217.332766409483
2024-12-02 12:15:00,10315.159438745388
2024-12-02 13:20:00,10412.007844357933
2024-12-02 14:04:00,10507.887765914355
2024-12-02 14:14:00,10532.899919363856
2024-12-02 15:09:00,10627.570920170218
2024-12-02 20:30:00,10721.295210968516
2024-12-02 22:30:00,10814.08225885883
2024-12-03 00:38:00,10905.941436270243
2024-12-03 02:17:00,10996.88202190754
2024-12-03 04:58:00,10981.876825277386
2024-12-03 05:05:00,11072.058057024613
2024-12-03 05:45:00,11161.337476454366
2024-12-03 06:27:00,11249.724101689822
2024-12-03 07:23:00,11062.21818958315
2024-12-03 07:42:00,10889.8466832394
2024-12-03 07:56:00,10842.473885992247
2024-12-03 08:18:00,10934.049147132324
2024-12-03 08:56:00,11024.708655661001
2024-12-03 09:39:00,10845.202828774221
2024-12-03 10:16:00,10936.75080048648
2024-12-03 10:44:00,10910.316323654562
2024-12-03 10:45:00,11001.213160418018
2024-12-03 11:15:00,11091.201028813837
2024-12-03 12:47:00,11180.289018525698
2024-12-03 13:34:00,11268.48612834044
2024-12-03 13:50:00,10628.175111085435
2024-12-03 14:16:00,10721.89335997458
2024-12-03 18:44:00,10814.674426374833
2024-12-03 22:37:00,10906.527682111086
2024-12-04 01:51:00,9712.435357539553
2024-12-04 02:46:00,9815.311003964158
2024-12-04 03:56:00,9538.86944550036
2024-12-04 04:00:00,9643.480751045357
2024-12-04 04:20:00,9747.045943534904
2024-12-04 05:56:00,9849.575484099554
2024-12-04 07:23:00,9555.213173138474
2024-12-04 08:18:00,9659.66104140709
2024-12-04 08:33:00,9763.064430993018
2024-12-04 09:34:00,9865.433786683087
2024-12-04 10:49:00,9403.747992520894
2024-12-04 10:52:00,9509.710512595684
2024-12-04 11:50:00,9614.613407469727
2024-12-04 12:38:00,9718.46727339503
2024-12-04 13:22:00,9821.28260066108
2024-12-04 14:03:00,9923.069774654468
2024-12-04 14:27:00,10023.839076907923
2024-12-04 20:11:00,10123.600686138843
2024-12-04 21:29:00,10222.364679277454
2024-12-04 22:23:00,9958.99403090784
2024-12-05 02:00:00,10059.40409059876
2024-12-05 03:15:00,10158.810049692773
2024-12-05 04:36:00,10257.221949195846
2024-12-05 05:27:00,10354.649729703888
2024-12-05 05:40:00,10357.897322387485
2024-12-05 05:46:00,10454.31834916361
2024-12-05 06:49:00,10549.775165671974
2024-12-05 07:05:00,10542.774999128029
2024-12-05 07:30:00,10502.244034838575
2024-12-05 09:34:00,10523.171293744865
2024-12-05 09:38:00,10416.556970799524
2024-12-05 09:40:00,10512.391401091529
2024-12-05 09:48:00,10453.030426309271
2024-12-05 10:44:00,10309.825882703894
2024-12-05 10:46:00,10406.727623876855
2024-12-05 11:38:00,10502.660347638086
2024-12-05 12:01:00,10597.633744161705
2024-12-05 12:46:00,10409.58641904494
2024-12-05 13:03:00,10371.224764721119
2024-12-05 13:07:00,10467.512517073908
2024-12-05 14:27:00,10562.83739190317
2024-12-05 14:39:00,10657.209017984138
2024-12-05 15:19:00,10750.636927804297
2024-12-05 16:20:00,10843.130558526254
2024-12-05 19:01:00,10934.699252940993
2024-12-05 19:59:00,11025.352260411582
2024-12-06 00:31:00,11115.098737807466
2024-12-06 02:00:00,11203.947750429392
2024-12-06 03:57:00,11168.763541431106
2024-12-06 04:06:00,11257.075906016795
2024-12-06 04:27:00,11344.505146956626
2024-12-06 06:03:00,11180.506297109487
2024-12-06 06:49:00,11268.701234138392
2024-12-06 07:16:00,11243.096252420322
2024-12-06 07:46:00,11330.665289896118
2024-12-06 08:30:00,11417.358636997156
2024-12-06 08:40:00,11503.185050627184
2024-12-06 08:59:00,11588.153200120913
