total_trades,win_rate,total_pnl,final_balance,max_drawdown,sharpe,zigzag_pct,volume_bins
937,0.35859124866595515,5179.530109775711,15179.530109775693,-0.38900939236835863,0.9436989979054441,0.0005,140
292,0.3835616438356164,3172.786805745124,13172.786805745125,-0.1826332955662266,0.8865734806745429,0.00125,140
390,0.36153846153846153,2501.525004547618,12501.525004547611,-0.2600155669652415,0.7099841311771024,0.001,140
223,0.3901345291479821,1070.397327860524,11070.397327860535,-0.19096544107415828,0.5093652149671912,0.0015,140
922,0.3470715835140998,-96.94882834160762,9903.05117165841,-0.5280637323736526,0.26748147799677613,0.0005,180
280,0.375,372.364557644697,10372.364557644685,-0.27774793605382797,0.2549742231719016,0.00125,220
386,0.3549222797927461,-536.4141852897653,9463.585814710254,-0.27134273567383715,0.046190756611066086,0.001,220
218,0.37155963302752293,-343.99612211963404,9656.003877880374,-0.17146658026459188,-0.04844569729631692,0.0015,220
545,0.3339449541284404,-1719.2634027367096,8280.736597263296,-0.3798238676077429,-0.2006664006380459,0.00075,140
286,0.3951048951048951,-1182.2505472498674,8817.749452750144,-0.31275943533900125,-0.2542873060712579,0.00125,180
391,0.36061381074168797,-1693.4825584803823,8306.51744151961,-0.30595573734497516,-0.31950623945546913,0.001,180
886,0.34198645598194133,-3076.874448701066,6923.125551298945,-0.595964019466682,-0.3757981269935881,0.0005,220
529,0.32892249527410206,-2495.2505982073685,7504.749401792635,-0.43363520381025467,-0.407311004638907,0.00075,220
960,0.353125,-3525.8139217312228,6474.186078268783,-0.6771503778719489,-0.47059004188833653,0.0005,100
222,0.3918918918918919,-1512.9334442686927,8487.066555731306,-0.2440846163978463,-0.6463267740227671,0.0015,180
545,0.3357798165137615,-3675.7266147373366,6324.273385262683,-0.4548249617151461,-0.8531618012594663,0.00075,180
409,0.36185819070904646,-3701.651529419302,6298.348470580698,-0.441805017473967,-1.4027054257037253,0.001,100
223,0.37668161434977576,-2737.85827066842,7262.141729331568,-0.2905738892449254,-1.6097084651597715,0.0015,100
296,0.38513513513513514,-3642.309285057493,6357.690714942506,-0.3991767700222281,-1.890031957387054,0.00125,100
569,0.3374340949033392,-5877.875976206025,4122.124023793971,-0.6289159297677464,-2.2812612384342854,0.00075,100
