trade_id,transition_type,direction,from_leg_id,to_leg_id,target_leg_id,entry_time,entry_price,stop_price,stop_distance,target_time,target_price,exit_time,exit_price,exit_reason,holding_minutes,lvn_price_center,lvn_price_min,lvn_price_max,risk_eur,units,pnl_eur,balance_before_trade,balance_after_trade
1,LH_to_LL,short,17,18,28,2024-12-02 00:18:00,68.34,68.43,0.09000000000000341,2024-12-02 02:48:00,68.49,2024-12-02 00:54:00,68.43,stop,36.0,68.30720000000001,68.2904,68.32400000000001,100.0,1111.111111111069,-100.0,10000.0,9900.0
2,HL_to_HH,long,14,15,21,2024-12-02 00:55:00,68.42,68.3,0.12000000000000455,2024-12-02 01:18:00,68.52,2024-12-02 01:18:00,68.52,target,23.0,68.44160000000001,68.4248,68.45840000000001,99.0,824.9999999999687,82.49999999999218,9900.0,9982.499999999993
3,HL_to_HH,long,20,21,23,2024-12-02 01:33:00,68.48,68.3,0.18000000000000682,2024-12-02 01:54:00,68.7,2024-12-02 01:54:00,68.7,target,21.0,68.44160000000001,68.4248,68.45840000000001,99.82499999999993,554.5833333333119,122.00833333332801,9982.499999999993,10104.50833333332
4,HL_to_HH,long,22,23,27,2024-12-02 02:06:00,68.52,68.47,0.04999999999999716,2024-12-02 02:39:00,68.62,2024-12-02 02:39:00,68.62,target,33.0,68.50880000000001,68.492,68.52560000000001,101.04508333333321,2020.901666666779,202.09016666669513,10104.50833333332,10306.598500000016
5,HL_to_HH,long,26,27,31,2024-12-02 02:40:00,68.59,68.54,0.04999999999999716,2024-12-02 03:31:00,68.75,2024-12-02 02:44:00,68.54,stop,4.0,68.6096,68.5928,68.6264,103.06598500000017,2061.3197000001205,-103.06598500000017,10306.598500000016,10203.532515000017
6,LH_to_LL,short,29,30,36,2024-12-02 03:09:00,68.42,68.57,0.14999999999999147,2024-12-02 04:13:00,68.47,2024-12-02 03:15:00,68.57,stop,6.0,68.44160000000001,68.4248,68.45840000000001,102.03532515000018,680.2355010000398,-102.03532515000018,10203.532515000017,10101.497189850017
7,HL_to_HH,long,34,35,39,2024-12-02 04:05:00,68.7,68.53,0.1700000000000017,2024-12-02 04:36:00,68.65,2024-12-02 04:07:00,68.53,stop,2.0,68.7104,68.6936,68.72720000000001,101.01497189850018,594.2057170499951,-101.01497189850018,10101.497189850017,10000.482217951518
8,HL_to_HH,long,38,39,43,2024-12-02 04:37:00,68.59,68.58,0.010000000000005116,2024-12-02 04:46:00,68.67,2024-12-02 04:37:00,68.58,stop,0.0,68.6096,68.5928,68.6264,100.00482217951517,10000.4822179464,-100.00482217951517,10000.482217951518,9900.477395772003
9,HL_to_HH,long,42,43,45,2024-12-02 04:47:00,68.61,68.57,0.04000000000000625,2024-12-02 04:51:00,68.7,2024-12-02 04:51:00,68.7,target,4.0,68.6096,68.5928,68.6264,99.00477395772003,2475.119348942614,222.76074140484369,9900.477395772003,10123.238137176846
10,HL_to_HH,long,44,45,47,2024-12-02 04:56:00,68.68,68.6,0.0800000000000125,2024-12-02 05:07:00,68.78,2024-12-02 05:07:00,68.78,target,11.0,68.6096,68.5928,68.6264,101.23238137176847,1265.404767146908,126.5404767146836,10123.238137176846,10249.778613891529
